error,category,name,url
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,liuruoze/EasyPR,https://github.com/liuruoze/EasyPR.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,deepfakes/faceswap,https://github.com/deepfakes/faceswap.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,sorgerlab/indra,https://github.com/sorgerlab/indra.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,korpling/pepper,https://github.com/korpling/pepper.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,henriquepgomide/caRtola,https://github.com/henriquepgomide/caRtola.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,d5555/TagEditor,https://github.com/d5555/TagEditor.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,ds-modules/LEGALST-190,https://github.com/ds-modules/LEGALST-190.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,strutive07/TIL,https://github.com/strutive07/TIL.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,davidhaohanli/Abnormal-Behaviour-Detection,https://github.com/davidhaohanli/Abnormal-Behaviour-Detection.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,Azure/azure-cosmosdb-spark,https://github.com/Azure/azure-cosmosdb-spark.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,MerceaOtniel/AlphaZero,https://github.com/MerceaOtniel/AlphaZero.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Tool,vncorenlp/VnCoreNLP,https://github.com/vncorenlp/VnCoreNLP.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,sagemathinc/cocalc,https://github.com/sagemathinc/cocalc.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,granularai/fabric,https://github.com/granularai/fabric.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,shaohua0116/Multiview2Novelview,https://github.com/shaohua0116/Multiview2Novelview.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,canlab/CanlabCore,https://github.com/canlab/CanlabCore.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,SparshaSaha/Hand-Gesture-Recognition-Using-Background-Elllimination-and-Convolution-Neural-Network,https://github.com/SparshaSaha/Hand-Gesture-Recognition-Using-Background-Elllimination-and-Convolution-Neural-Network.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,SiteHuang/COMP90055-Spider-Object-Detection,https://github.com/SiteHuang/COMP90055-Spider-Object-Detection.git 
<urlopen error [Errno 11001] getaddrinfo failed>,No AI-ML,cmusphinx/pocketsphinx,https://github.com/cmusphinx/pocketsphinx.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,AllenCellModeling/pytorch_integrated_cell,https://github.com/AllenCellModeling/pytorch_integrated_cell.git 
<urlopen error [Errno 11001] getaddrinfo failed>,No AI-ML,React-Proto/react-proto,https://github.com/React-Proto/react-proto.git 
<urlopen error [Errno 11001] getaddrinfo failed>,No AI-ML,preziotte/party-mode,https://github.com/preziotte/party-mode.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,chizhanyuefeng/FD-CNN,https://github.com/chizhanyuefeng/FD-CNN.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,sintefneodroid/neo,https://github.com/sintefneodroid/neo.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,Pyrofoux/Drowsy,https://github.com/Pyrofoux/Drowsy.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,NaturalIntelligence/imglab,https://github.com/NaturalIntelligence/imglab.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,Alireza-Akhavan/class.vision,https://github.com/Alireza-Akhavan/class.vision.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,shobrook/BitVision,https://github.com/shobrook/BitVision.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,gcunhase/NLPMetrics,https://github.com/gcunhase/NLPMetrics.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,sonoisa/code2vec,https://github.com/sonoisa/code2vec.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,HaliteChallenge/Halite-III,https://github.com/HaliteChallenge/Halite-III.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,DylanModesitt/political-sentiment,https://github.com/DylanModesitt/political-sentiment.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,JGuymont/vae-anomaly-detector,https://github.com/JGuymont/vae-anomaly-detector.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,fhamborg/Giveme5W1H,https://github.com/fhamborg/Giveme5W1H.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Tool,CBICA/CaPTk,https://github.com/CBICA/CaPTk.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,ml5js/ml5-library,https://github.com/ml5js/ml5-library.git 
